Identifier,Title,Date of Publication,Place of Publication
17752,"Acta historiam regis Chistierni II. illustrantia. Quae ... præside mag. Erico Gust. Geijer ... pro gradu philosophico p.p. P. A. Adde, etc",1833,Upsaliæ
18173,"[The Works of the late Right Honourable Joseph Addison, Esq. ... The third edition, etc. [Edited by Thomas Tickell.]]: Works",1804,London
18218,The Poetical Works of Joseph Addison; Gay's Fables; and Somerville's Chase. With memoirs and critical dissertations by Rev. George Gilfillan: Two or more Works,1859,Edinburgh
18347,"L'Esprit d'Addisson, ou les Beautés du Spectateur, du Babillard et du Gardien, consistant principalement dans une collection des feuilles de Mr. Addisson, avec un précis de sa vie. Ouvrage nouvellement traduit de l'anglais par Mr. J. P. A: Essays from the Spectator, Guardian and Tatler",1777,Yverdon
18469,"Addisoni Epistola missa ex Italiâ ad illustrem Dominum Halifax, anno 1701. [A translation into Latin hexameter verse.] Auctore A. Murphy. (Addison's Letter to Lord Halifax.) Lat. & Eng: Miscellaneous Single Works",1799,Londini
19340,"Augustin Freiherr von Meyerberg und seine Reise nach Russland. Nebst einer von ihm auf diese Reise veranstalteten Sammlung von Ansichten, Gebräuchen, Bildnissen u. s. w",1827,St. Petersburg
20207,Studien zur Cultur-Geschichte Polens. Bd. 1,1866,Berlin
20960,"The Diary and Houres of the Ladye Adolie, a faythfulle childe. 1552. [Edited, or rather written, by Lady C. M. Pepys.]",1853,London
21119,"Lays of Modern Oxford, by Adon. Illustrated by M. E. Edwards, F. Lockwood, and the author",1874,London
21430,"Adriano; or, the first of June, a poem. By the author of The Village Curate [i.e. James Hurdis]",1790,London
21782,"The Adventures of a Post Captain. By a Naval Officer. [In verse.] With ... engravings, by Mr. Williams",1817,London
22060,"Histoire de la Ville de Sceaux depuis son origine jusqu'à nos jours ... Sous la direction de ... M. Charaire ... Ouvrage illustré de gravures, etc",1883,Sceaux
22105,"The National Advocates, a poem. Affectionately inscribed to the Honourable Thomas Erskine and Vicary Gibbs, Esquire [in praise of their exertions in defence of Thomas Hardy, Horne Tooke and others]. [By William Hayley.]",1795,London
22278,Das Hochgebirge von Grindelwald. Naturbilder aus der schweizerischen Alpenwelt von C. Aeby und E. v. Fellenberg ... und Gerwer. Mit ... einer Karte in Farbendruck von R. Leuzinger,1865,Coblenz
23565,Prometheus the Fire-giver. An attempted restoration of the lost first part of the Prometheian Trilogy of Æschylus. [By William Cox Bennett.]: Appendix,1877,London
24344,"Cosmographiam Æthici Istrici ab Hieronymo ex Graeco in Latinum breviarium redactam ... separato libello expressam primum edidit Henricus Wuttke. Accedunt duae tabulae, etc",1853,Leipzig
24878,"The Children of Africa. Written for all English-speaking children. By ... the author of “The Children of India,” etc. [i.e. A. W. Marston]",1886,London
27797,"Prospectus of an Expedition into the Interior of South Africa from Dalagoa Bay, etc. [By W. D. Cooley.]: General Appendix",1834,London
28615,"Försök till en statsekonomisk statistik öfver Sverige. (Den statsekonomiska afdelningen af C. A. Agardh, den statistiska af C. E. Ljungberg.)",1852,Carlstad
28630,Inledning till Sveriges fysiska geografi. Jemte upplysningar rörande ankologisk och fysisk karta öfver Sverige,1857,Carlstad
28758,"Geological Sketches. [The preface signed: E. C. A., i.e. Elizabeth C. Agassiz. With a portrait.]",1866,Boston
28784,"Voyage au Brésil, traduit de l'anglais ... par F. Vogeli. Ouvrage illustré, etc",1869,Paris
28873,"Agatha's Husband. A novel. By the author of “Olive,” etc. [i.e. D. M. Mulock, afterwards Craik.]",1853,London
28876,"[Agatha's Husband. A novel. By the author of “Olive,” etc. [i.e. D. M. Mulock, afterwards Craik.]]",1875,London
29031,The Age Reviewed: a satire. [In verse. By Robert Montgomery.],1827,London
29032,[The Age Reviewed: a satire. [In verse. By Robert Montgomery.]],1828,London
29285,Through the Ages. A psychological romance. By the author of “The Honeymoon” [i.e. the Duke de Medina Pomar],1876,London
29505,"Agis: a tragedy, etc. [In verse. By John Home.]",1758,A. Millar
29844,The Gem of the Season: with twenty plates by Sartain. Edited by J. H. Agnew,1846,New York
30269,"Mathurá: a District Memoir. By F. S. Growse ... Second edition. Illustrated, revised and enlarged: Miscellaneous Official Publications",1880,Allahabad
31858,"Ahasuerus, the Wanderer; a dramatic legend [in verse] ... By the author of Sketches in Hindoostan, and other poems [i.e. Thomas Medwin]",1823,London
32896,Skandinavische Hof- und Staatsgeschichten des neunzehnten Jahrhunderts. Nach den schwedischen Quellen des Dr. A. Ahnfelt von H. Martens,1887,Stuttgart
33745,The Works of Anna Lætitia Barbauld. With a memoir by Lucy Aikin,1825,London
33833,The Vicar of Wakefield ... Illustrated with numerous engravings. With an account of the author's life and writings by J. Aikin: The Vicar of Wakefield,1850,D. Appleton & Co
33881,[Essays on song-writing: with a collection of such English songs as are most eminent for poetical merit. To which are added some original pieces. [By J. Aikin.]],1810,London
34361,Кіево-Софійскій Соборъ. Изслѣдованіе древней мозаической и фресковой живописи ... Съ 14 рисунками. (Оттискъ изъ „Записокъ Импер. Русск. Археол. Общ.” т. iv.) [With manuscript addenda in English.],1889,Санктпетербургъ
34463,"Robert Ainsleigh. By the author of 'Lady Audley's Secret,' etc. [i.e. Mary E. Braddon]",1872,London
34538,"A Pilgrimage to the Land of Burns, and Poems ... With a memoir of the author, by Thomas C. Latto. [With portraits.]",1892,Paisley
34785,The illustrated universal gazetteer,1860,London
34793,"Wanderings in every Clime; or, voyages, travels, and adventures all round the world ... A sequel to “The Earth delineated with pen and pencil” ... With ... illustrations, etc",1872,London
34810,"Boscobel; or, the Royal Oak. A tale of the year 1651 ... Illustrated by J. H. Rimbault",1872,London
34826,The Constable of the Tower: an historical romance ... Illustrated by John Gilbert,1861,London
34852,"[The Flitch of Bacon: or, the Custom of Dunmow. A tale of English home. With illustrations by John Gilbert.]",1874,London
34914,Mervyn Clitheroe ... Illustrated by Hablot K. Browne,1858,London
34952,Ovingdean Grange. A tale of the South Downs. Illustrated by Hablot K. Browne,1860,London
34967,[Rookwood ... The fourth edition ... with illustrations by George Cruikshank. [With a portrait.]],1857,London
34987,The Spendthrift: a tale ... With illustrations by Hablot K. Browne,1857,London
36171,L'Auvergne. Illustrations de A. Montader,1896,Paris
36231,Plimsoll's England. A satire. By Ajax. [In verse.],1878,London
36521,[The Poetical Works of Mark Akenside ... With a biographical sketch of the author (by Dr. Johnson).]: Collections,1857,Edinburgh
36531,[Hymn to the Naiads.] Alle Najadi. Inno alla Greca ... Recato in verso Italiano da T. J. Mathias,1821,Napoli
36721,"Triscombe Stone: a romance of the Quantock Hills, etc",1897,London
38673,Κερκυραϊκα ἀπομνημονευματα. [Edited by I. Delotes.],1891,Ἐν Κερκυρᾳ
38986,"Scenes and Occurrences in Albany and Cafferland, South Africa. [By T. Phillips.]",1827,London
39670,"Albert and Rosalie, or the Fire King. A grand melodrama, in three acts. [By F. F. Warton. In verse.]",1808,London
39775,"The Prince Albert, a poem. [By Joseph Plimsoll.]: Appendix",1868,Plymouth
40021,"The Cruise of Her Majesty's Ship “Bacchante,” 1879-1882. Compiled from the private journals, letters and note-books of Prince Albert Victor and Prince George of Wales, with additions by J. N. Dalton",1886,London
40627,Annali del principato ecclesiastico di Trento dal 1022 al 1540 compilati sui documenti da F. F. degli Alberti ... reintegrati ... da T. Gar,1860,Trento
40680,"De Kaffers aan de zuidkust van Afrika, natuur en geschiedkundig beschreuen. [Translated from the German manuscript by Jan Konijnenburg.]",1810,Amsterdam
40976,Francisci Albertini Opusculum de mirabilibus novae urbis Romae. Herausgegeben von August Schmarsow,1886,Heilbronn
41050,Alla Nuova Guinea: ciò che ho veduto e ciò che ho fatto. [With illustrations of birds by J. Gould.],1880,Torino
41096,Panowanie Henryka Walezyusza i Stefana Batorego krolów Polskich. Z rękopismów Albertrandego podług wydania Ż. Onacewicza. Z dołączeniem Pamiętników historyi Stefana Batorego dotyczących. [With the preface of Onacewicz.],1849,w Krakowie
41097,[Panowanie Henryka Walezyusza i Stefana Batorego krolów Polskich. Z rękopismów Albertrandego podług wydania Ż. Onacewicza. Z dołączeniem Pamiętników historyi Stefana Batorego dotyczących. [With the preface of Onacewicz.]],1860,w Krakowie
41601,"Albion; or, the Court of Neptune. A masque. [By Thomas Cooke.]",1724,London
41623,The Albion Princess: a pindaric ode. [By Robert Colvill.],1772,London
42862,"The Geographical and Historical Dictionary of America and the West Indies, containing an entire translation of the Spanish work of ... A. de Alcedo, with large additions ... by G. A. Thompson",1812,London
42904,Alcestis. [A novel. By Blanche Warre Cornish.],1873,London
42911,"Spiritual Alchemy; or, Trials turned to Gold. By the Author of “Hearts in Mortmain,” and “Cornelia” [i.e. Margaret Sandbach]",1851,London
43140,Recollections of an Excursion to the Monasteries of Alcobaça & Batalha. By the author of Vathek [i.e. W. Beckford. With a portrait],1835,London
43252,"Poems, &c. &c. [Edited by Joanna Hughes.]",1799,London
45172,"History of the United States Marine Corps ... From official reports and other documents, compiled by Captain R. S. Collum",1875,Boston
45574,"Alec's Bride. By the author of “St. Olave's” [i.e. Eliza Tabor, afterwards Stephenson], etc",1867,London
48378,Narrative of a Voyage of Observation among the Colonies of Western Africa ... and of a campaign in Kaffir-Land ... in 1835 ... Illustrated with maps and plates by Major C. C. Michell,1837,London
48384,"Travels to the Seat of War in the East, through Russia and the Crimea, in 1829, etc. [With plates and a map.]",1830,London
48908,"A Journey to Beresford Hall, the seat of Charles Cotton Esqre, the celebrated author and angler. [Preceded by a memoir of the author. The dedication signed: J. G.]",1841,London
48989,"The Earl of Stirling's Register of Royal Letters relative to the affairs of Scotland and Nova Scotia from 1615 to 1635. Edited, with a biographical introduction, by the Rev. Charles Rogers",1884,Edinburgh
49023,"[Johnny Gibb of Gushetneuk, in the parish of Pyketillim; with glimpses of the parish politics about A.D. 1843. [By W. Alexander. Reprinted from the 'Aberdeen Free Press.']]",1880,Edinburgh
49724,His Imperial Highness the Grand Duke Alexis in the United States of America during the winter of 1871-72. [By William W. Tucker. With a portrait.],1872,Cambridge
51061,Rückblicke auf Algier und dessen Eroberung ... im Jahre 1830. Von einem Offizier aus dem Gefolge des Marschall grafen Baurmont [i.e. Friedrich von Schwarzenberg]: Appendix,1837,Wien
51064,Through Algeria. By the author of “Life in Tuscany” [i.e. Mabll Sharman Crawford]: Appendix,1863,London
51125,"Travels in Algeirs, Spain, &c. &c. With a faithful ... account of the Algerines, etc. [By Sophia Barnard.]: Appendix",1820,London
51466,"Ali Baba, or the Forty Thieves. A burlesque extravaganza ... Adapted ... by ... E. A. P. Hobday, with ... new songs and music, selected and arranged by ... J. H. Leslie. [The libretto. With illustrations.]",1884,Bombay
52264,Nos Africains.-La mission Crampel.-La mission Dybowski.-La mission Mizon.-La mission Monteil ... La seconde mission Mizon ... Ouvrage illustré,1894,Paris
52272,"Notice sur le château, les anciens seigneurs et la paroisse de Mauvezin, près Marmande ... Accompagnée de nombreux dessins, etc. [With an introduction by J. P. Tamizey de Larroque.]",1887,Agen
52316,"Alison. [A novel.] By the author of “Miss Molly,” etc. [i.e. Beatrice May Butt.]",1883,Edinburgh & London
52347,"[A Sermon preached ... the day after the funeral of Sir William Forbes, of Pitsligo, Baronet.]",1808,Edinburgh
52370,"Atlas to accompany Alison's History of Europe. Constructed and arranged under the direction of Mr. A. K. Johnston, etc. [With supplement.]: History of Europe from the commencement of the French Revolution, etc",1848,Edinburgh
52372,"History of Europe from the commencement of the French Revolution in 1789, to the Restoration of the Bourbons ... Abridged from the last London edition ... by Edward S. Gould. Fourth edition",1845,New York
52772,All Wrong. A leaf from a drama. [A tale. By Annie M. Griffen.],1877,Philadelphia
52859,"All the Talents' Garland; or, a Few Rockets let off at a celebrated Ministry. [By James Sayers.] ... Second edition",1807,London
53231,"Geschiedenis en beschrijving van Haarlem, van de vroegste tijden tot op onze dagen, door F. Allan, onder medewerking van ... C. Ekama ... A. J. Enschedé .... H. Gerlings ... en C. J. Gonnet",1874,Haarlem
53348,"Military Operations in Eastern Maine and Nova Scotia during the Revolution, chiefly compiled from the journals and letters of Colonel John Allan, with notes and a memoir of Col. John Allan. By Frederic Kidder. [With a map.]",1867,Albany
53627,The Army of Northern Virginia in 1862 ... With an introduction by John C. Ropes. [With maps.],1892,Boston
53628,"History of the Campaign of Gen. T. J.-Stonewall-Jackson in the Shenandoah Valley of Virginia. From November 4, 1861, to June 17, 1862 ... With ... maps ... by Jed. Hotchkiss",1880,Philadelphia
54811,"Breve fra danske Krigsmænd, skrevne til Hjemmet under Felttogene 1848, 1849, 1850. Samlede af C. F. Allen. Udgivne af Chr. Bruun",1873,Kjøbenhavn
54815,"Danskhedens Skjæbne i Slesvig, udarbeidet efter Prof. Allen's Værk “Det danske Sprogs Historie i Hertugdømmet Slesvig eller Sønderjylland” ved J. W. Marckmann ... Med et Forord af Prof. Allen og et Sprogkort",1860,Haderslev
54819,"Histoire de Danemark depuis les temps les plus reculés jusqu'à nos jours, avec une bibliographie et des tables généalogiques ... Ouvrage ... traduit d'après la septième édition danoise par E. Beauvois. Complété pour les neuf dernières années du règne de Frédéric VII",1878,Copenhague
54820,"Geschichte des Königreiches Dänemark, mit steter Rücksicht auf die innere Entwickelung in Staat und Volk ... Übersetzt ... vermehrt und mit einem Vorwort begleitet von Dr. N. Falck ... Zweite ... vermehrte Auflage",1846,Kiel
54828,"De tre nordiske Rigers Historie under Hans, Christiern den Anden, Frederik den Første, Gustav Vasa, Grevefeiden. 1497-1536. [Bd. 5. edited by C. Bruun and F. Krarup.]",1864,Kjøbenhavn
55031,The White Man's Foot ... With ... illustrations by J. Finnemore,1859,pp. vi. 216. Hatchards
56580,"A History of the American Revolution ... To which are added, the most important resolutions of the Continental Congress, and many of the most important letters of General Washington",1822,Baltimore
56757,"Last Letters of R. L. Allen. [With a memoir of the author signed: S. O. A., i.e. S. O. Allen.]",1871,New York
56969,History of the Counties of Surrey and Sussex ... Illustrated by a series of views engraved ... by Nathaniel Whittock,1829,London
56981,Across Asia on a Bicycle: the journey of two American students from Constantinople to Peking,1894,New York
57124,"A Narrative of the Expedition sent by Her Majestys Government to the River Niger in 1841, under the command of Capt. H. D. Trotter. [With plates.]",1848,London
58178,"Captain Cuellar's Adventures in Connacht & Ulster, A.D. 1588 ... To which is added an introduction and complete translation of Captain Cuellar's Narrative of the Spanish Armada and his adventures in Ireland, by R. Crawford, etc",1897,London
60280,Lições de Historia Patria ... publicadas por J. M. Lisboa. 2a edição,1877,S. Paulo
60798,"Praes. De variis reipublicæ Suio-gothicæ regendæ formulis, disquisitio historica, etc. Resp. J. Petersson",1823,Londini Gothorum
61361,"[Lucé et ses environs aux XVIIe et XVIIIe siècles. (Par M. V. Alouis, publié par M. Louis Hervé.)]",1891,Mamers
62084,"Alpine Sketches, comprised in a short tour through parts of Holland, Flanders, France, Savoy, Switzerland and Germany, during the summer of 1814. By a Member of the University of Oxford [i.e. George Wilson Bridges]",1814,London
62125,"The Diary of a Traveller over Alps and Appenines; or, Daily minutes of a circuitous excursion. [By Murray Forbes.]",1824,London
62129,The Maritime Alps and their Seaboard. By the author of “Vera” [i.e. C. L. H. Dempster] ... With illustrations,1885,London
63229,'Alter Ejusdem': being another instalment of lilts and lyrics. By the author of 'Mistura curiosa' [i.e. J. A. Sidey]. With ... pen and ink sketches and occasional music,1877,Edinburgh
64513,[Historia Chichimeca.-Relaciones.],1891,México
64601,"Proceso de Residencia contra Pedro de Alvarado (y Nuño de Guzman). Ilustrado con estampas, sacadas de los antiguos codices Mexicanos, y notas y noticias biograficas ... por D. José Fernando Ramirez. Lo publica paleografiado del ms. original ... I. L. Rayon. [With a portrait.]",1847,Mexico
64634,Histoire du Mexique ... Traduite sur un manuscrit inédit par H. Ternaux-Compans,1853,Paris
64701,"Tratado breve dos Rios de Guiné do Cabo-Verde, desde o Rio do Sanagá até aos baixos de Sant' Anna ... 1594. Publicado por Diogo Köpke. [With a map.]",1841,Porto
64829,"Itinerarios y derroteros de la República Mexicana, etc",1856,México
65026,"Correspondance du Duc d'Albe sur l'invasion du Comte Louis de Nassau en Frise, en 1568, et les batailles de Heyligerlée et de Gemmingen; publiée par M. Gachard. (Extrait des Bulletins de la Commission Royale d'Histoire.)",1850,Bruxelles
66142,"Amadis de Gaul: a poem in three books; freely translated from the first part of the French version of Nicolas de Heberay [sic], Sieur des Essars; with notes: by William Stewart Rose: Amadis de Gaula (Spanish romance). English. Abridgements. - Book 1",1803,London
66840,La Rivoluzione francese e l'ultimo de' pretesi Luigi XVII [i.e. A. J. M. Alday]. Studio storico critico,1874,Macerata
67034,"History of the War of the Sicilian Vespers ... [Translated by Anne B. I. Percy.] Edited, with an introduction and notes, by the Earl of Ellesmere",1850,London
67200,"Poems, by an Amateur [i.e. Bernard Barton]",1818,London
67519,"Louvois d'après sa correspondance, 1641-1691",1881,Tours
67701,"Inventaire analytique des archives communales d'Amboise, 1421-1789. Suivi de documents inédits relatifs à l'histoire de la ville. Par M. l'abbé C. Chevalier",1874,Tours
68917,America and the Americans. By a Citizen of the World [i.e. James Boardman?],1833,London
69151,"Eighty Years' Progress of British North America, showing the developmentof its natural resources ... with a large amount of statistical information, etc. [By H. Y. Hind, T. C. Keefer, C. Robb, J. G. Hodgins, M. H. Perley and W. Murray.]",1863,London
69299,"The American in England. By the author of “A year in Spain” [i.e. Alexander Slidell, afterwards Slidell Mackenzie]",1835,New York
69302,The American in Paris. [By John Sanderson.],1838,London
69314,Captain Hall in America. By an American [i.e. Richard Biddle],1830,Philadelphia
69331,"Desultory Reminiscences of a Tour through Germany, Switzerland and France. By an American [i.e. Hezekiah Hartley Wright]",1838,Boston
69339,"Essays, Descriptive and Moral; on Scenes in Italy, Switzerland, and France. By an American [i.e. Mathias Bruen]",1823,Edinburgh
69359,"A Journal of a Tour in Italy, in the year 1821. With a description of Gibraltar. Accompanied with several engravings. By an American [i.e. Theodore Dwight]",1824,New-York
69387,Poems. By an American [i.e. Henry Pickering],1830,Boston
69390,Rambles in Italy in the years 1816-17. By an American [i.e. James Sloan],1818,Baltimore
69401,Sketches of Turkey in 1831 and 1832. By an American [i.e. James E. De Kay],1833,New York
69813,A Short American Tramp in the fall of 1864. By the editor of 'Life in Normandy' [i.e. John Francis Campbell],1865,Edinburgh
69864,The Americans as they are; described in a tour through the valley of the Mississippi. By the author of “Austria as it is” [i.e. Charles Sealsfield],1828,London
70023,"Aristophanes at Oxford. O.W. By Y.T.O. [i.e. L. C. M. S. Amery, F. W. Hirst and H. A. A. Cruso.]",1894,J. Vincent
70719,"[An Epistle-with a Petition in it-to Sir John Blount, Bart., one of the Directors of the South-Sea Company. [In verse.]]",1720,London
70845,Constantinople ... Translated ... by Caroline Tilton,1878,London
70846,With illustrations.],1886,New York
70870,Morocco: its people and places ... Translated by C. Rollin-Tilton. With ... illustrations,1879,London
70881,Holland ... Translated ... by Caroline Tilton: Olanda,1880,London
70882,Holland ... Translated ... by M. Saltire: Olanda,1883,London
70912,On Blue Water ... Translated by Jacob B. Brown. Illustrated: Sullʹ Oceano,1898,New York
71005,"Dizionario topografico della Sicilia ... Tradotto ... ed annotato da Gioacchino Dimarzo. [With “Vita dell' autore,” by Francesco Ferrara.]",1855,Palermo
74411,La Dictadura de O'Higgins,1853,Santiago
74635,Only a Drummer Boy. (A novel.),1894,London
74645,"Amyntor and Theodora: or, the Hermit. A poem. In three cantos. [By David Mallet.]",1747,London
74647,"[Amyntor and Theodora: or, the Hermit. A poem. In three cantos. [By David Mallet.]]",1748,London
74744,"The Renegado Whip't. A satyre [in verse], in answer to A-n's [i.e. A. Pierce's] lybel on the author of the Essay on Marriage. [By-Forbes of Disblair.]",1704,Edinburgh
75468,Holy of Holies. Confessions of an Anarchist. [By John E. Barlas. Poems.],1887,Chelmsford
75692,"The Anatomist: or, the Sham Doctor. A farce, etc. [In one act. Adapted from Edward Ravenscroft's comedy.]",1762,London
75704,"An Anatomy of Atheisme: a poem. By a person of quality [i.e. William Dawes, afterwards Archbishop of York]",1694,London
76338,Historia de Yucatán desde la época más remota hasta nuestros días ... Segunda edición. [With an introductory note on Eligio Ancona by Francisco Sosa.],1889,Barcelona
76454,A Summer in Andalucia. [By George Dennis.]: Appendix,1839,London
77405,"The Story of the Mermaiden. Adapted from the German of Hans Andersen, by E. Ashe ... Illustrated by Laura Troubridge. [In verse.]: Eventyr. Single Tales",1888,London
77482,A Poet's Bazaar. From the Danish ... by Charles Beckwith [i.e. C. Beckwith Lohmeyer.]: Other Works,1846,London
77495,Pictures of Sweden. [Translated by Charles Beckwith Lohmeyer.]: Other Works,1851,London
77554,"Rambles in the romantic regions of the Hartz Mountains, Saxon Switzerland, &c. ... From the original Danish ... by Charles Beckwith. [i.e. C. Beckwith Lohmeyer]: Other Works",1848,London
78142,"A Romance of N'Shabé. Being a record of startling adventures in South Central Africa, etc",1891,London
78735,"The Burns Centenary Poems, a collection of fifty of the best out of many hundreds written on occasion of the centenary celebration ... Selected and edited by G. Anderson and J. Finlay",1859,Glasgow
78740,Handbook to the Highland Railway ... Season 1890. Ninth edition [of the work by G. and P. Anderson]. Revised and enlarged. By P. J. Anderson,1890,Inverness
79249,"Mandalay to Momien: a narrative of the two Expeditions to Western China of 1868 and 1875, under Colonel E. B. Sladen and Colonel H. Browne ... With maps and illustrations",1876,London
80465,Holloas from the Hills ... With illustrations by G. Denholm Armour,1899,Jedburgh
80911,Notes of Travel in South Africa. Edited by G. Lloyd. [With a portrait.],1875,London
81414,"The Fortune of a Spendthrift, and other items",1895,Westminster
81458,The Archives of Andover. By the Rev. C. Collier ... and the Rev. R. H. Clutterbuck. pt. 1,1885,Andover
82105,"Warnham, in the County of Sussex. Its church, monuments, registers, and vicars ... Reprinted from the Sussex Archaeological Collections, etc",1883,Lewes
84631,History of the Campaign of Mobile; including the co-operative operations of Gen. Wilson's Cavalry in Alabama ... With maps and illustrations,1867,New York
85672,"Panorama van Neerlands verleden, door P. J. Andriessen en W. J. Hofdijk.[With plates.]",1880,Deventer
87222,"Diary of Colonel Israel Angell, commanding the Second Rhode Island Continental Regiment during the American Revolution, 1778-1781. Transcribed from the original manuscript, together with a biographical sketch of the author and illustrative notes by Edward Field ... Illustrated",1899,Providence
